,pitcher,proj_loc,count,Spot+
2543,669923,2.72,2786,126
2550,669952,0.23,413,99
2553,670036,0.68,286,104
2556,670046,-0.25,307,94
2560,670059,-0.47,815,91
2566,670102,1.55,1387,113
2569,670124,-0.36,523,92
2573,670167,0.5,798,102
2576,670174,0.55,1144,102
2579,670241,0.28,257,99
2583,670280,0.07,947,97
2592,670766,0.34,583,100
2595,670810,0.52,151,102
2597,670871,-0.24,194,94
2604,670950,-0.38,1180,92
2608,670955,1.23,607,110
2612,670970,1.48,982,112
2616,670990,-0.31,768,93
2618,671096,-0.2,2333,94
2620,671106,-0.22,1664,94
2622,671111,0.23,282,99
2624,671131,-0.23,103,94
2626,671212,-1.63,871,78
2627,671305,0.01,547,96
2631,671345,0.56,861,102
2633,671737,-0.48,2120,91
2636,671922,1.61,1129,114
2640,672282,-0.37,1398,92
2644,672335,-0.26,792,93
2648,672391,0.27,318,99
2649,672456,1.11,1346,108
2650,672552,0.06,176,97
2654,672578,0.01,457,96
2658,672582,1.15,867,109
2662,672710,-0.45,996,91
2668,672782,0.07,214,97
2672,672851,-0.01,178,96
2674,672860,-0.31,212,93
2676,673380,0.87,494,106
2677,673513,-0.57,1004,90
2679,673540,0.1,73,97
2680,673929,-0.84,560,87
2682,674003,1.92,995,117
2685,674072,0.2,706,98
2687,674285,-0.19,436,94
2689,674370,-0.47,1056,91
2691,674444,0.16,49,98
2695,674944,0.42,167,101
2698,675540,0.72,528,104
2701,675627,0.17,787,98
2702,675650,-0.07,260,95
2706,675911,0.36,178,100
2715,675921,0.66,537,103
2717,675989,0.2,312,98
2725,676083,0.2,175,98
2728,676092,1.15,587,109
2731,676105,-0.09,210,95
2733,676106,1.0,842,107
2736,676130,-2.59,1189,68
2742,676254,2.08,1129,119
2747,676272,-0.7,1053,89
2748,676282,-0.64,532,89
2750,676395,1.42,894,112
2752,676428,1.09,545,108
2754,676440,2.79,2667,127
2758,676477,0.07,320,97
2761,676534,-0.07,987,95
2765,676596,-0.91,531,86
2767,676604,0.17,75,98
2769,676614,-0.0,374,96
2772,676617,-0.68,194,89
2776,676661,0.03,214,97
2779,676664,1.65,2661,114
2781,676680,0.46,299,101
2785,676684,1.02,1091,107
2787,676702,0.06,587,97
2792,676710,1.6,2636,114
2795,676714,-0.02,317,96
2799,676760,-0.33,395,93
2801,676775,0.19,846,98
2808,676879,0.17,404,98
2812,676961,-0.2,63,94
2813,676962,-0.01,849,96
2815,676969,0.0,154,96
2817,676974,-0.5,968,91
2820,676979,1.63,2252,114
2822,677020,-0.39,215,92
2825,677053,0.03,906,97
2827,677076,0.02,15,96
2830,677161,0.92,957,106
2837,677865,0.24,99,99
2839,677944,2.85,1291,127
2843,677960,0.35,1160,100
2845,677976,-0.02,153,96
2846,678020,0.54,113,102
