PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dLongitudinalAngle,SpinAxis3dTransverseAngle,SpinAxis3dTilt,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,PitchTrajectory3rdOrderXc0,PitchTrajectory3rdOrderXc1,PitchTrajectory3rdOrderXc2,PitchTrajectory3rdOrderXc3,PitchTrajectory3rdOrderYc0,PitchTrajectory3rdOrderYc1,PitchTrajectory3rdOrderYc2,PitchTrajectory3rdOrderYc3,PitchTrajectory3rdOrderZc0,PitchTrajectory3rdOrderZc1,PitchTrajectory3rdOrderZc2,PitchTrajectory3rdOrderZc3
25,2026-02-06,11:15:34.89,2,2,"Burke, Sean",680732,Right,WHI_SOX30,"Cerda, Derek",832213,Right,WHI_SOX30,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.24526,-3.376501,-1.724727,2525.168095,203.19103,12:45,6.07772,2.68633,6.34865,-13.12812,17.8906,7.2326,1.87066,1.70096,86.11932,-5.907557,-0.415787,0.400851,,,,,,,,,,,,-4.25378,10.58005,-2.56437,50,5.82595,3.81452,-136.73484,-8.41136,-8.0419,30.54613,-12.17212,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,d5079bf0-0387-11f1-8e19-276118046144,94.03101,,,8.12594,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:15:34.89,2026-02-06T11:15:34.8917248-07:00,2026-02-06T18:15:34.8917248Z,,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,fbe2f630-7a94-481d-8d3f-27cbca44f110,54.14876,-137.65854,15.27306,6.07474,-8.04327,-6.08606,-2.6834,4.05771,-4.02095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.15679,-137.91501,16.86166,-2.57979,6.07763,-8.13571,-5.51354,-0.92974,-2.68626,4.14901,-4.58649,0.91841
26,2026-02-06,11:15:51.13,2,3,"Burke, Sean",680732,Right,WHI_SOX30,"Cerda, Derek",832213,Right,WHI_SOX30,Undefined,1,Bottom,0,1,1,Fastball,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,92.73196,-3.082358,-3.173853,2502.803062,199.911654,12:45,6.03552,2.56449,6.35038,-15.65131,16.27328,5.53772,1.88695,0.10157,85.1847,-6.061724,-2.173425,0.406662,,,,,,,,,,,,-3.7574,9.63268,-2.33667,50,5.80393,7.23745,-134.5144,-7.69568,-6.90932,28.18731,-14.46087,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,deb46a70-0387-11f1-8e19-276118046144,92.68734,,,7.54725,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:15:51.13,2026-02-06T11:15:51.1320576-07:00,2026-02-06T18:15:51.1320576Z,,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,a7c94424-000d-4edd-9c3e-39cd86bcc706,54.14861,-135.38094,14.09366,6.03368,-7.25112,-7.23044,-2.56243,7.44986,-3.45466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.15508,-135.59472,15.46089,-2.29253,6.03546,-7.30974,-6.85552,-0.62865,-2.56445,7.51657,-3.88127,0.71532
27,2026-02-06,11:16:09.88,2,4,"Burke, Sean",680732,Right,WHI_SOX30,"Cerda, Derek",832213,Right,WHI_SOX30,Undefined,1,Bottom,0,1,2,ChangeUp,Changeup,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,85.24377,-1.900629,-2.573467,1674.107454,243.050536,2:00,5.94523,2.59544,6.135,-29.72053,8.56296,14.36296,1.7095,1.41231,77.94147,-7.438134,0.017159,0.445325,,,,,,,,,,,,-8.2139,5.34803,-2.40646,50,5.78465,5.0076,-123.70936,-5.03242,-12.66875,25.77148,-23.92555,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,e9e540e0-0387-11f1-8e19-276118046144,84.64028,,,7.3023,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:16:09.88,2026-02-06T11:16:09.8814976-07:00,2026-02-06T18:16:09.8814976Z,,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,6e1fa027-9275-4998-a7b4-aa66456e8d2c,54.36355,-124.61507,12.88574,5.94673,-4.19158,-11.96278,-2.59028,5.45283,-6.33437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.37044,-124.82145,14.08146,-1.81629,5.94524,-4.14695,-12.2214,0.39285,-2.59532,5.60364,-7.20815,1.32726
28,2026-02-06,11:16:31.13,2,5,"Burke, Sean",680732,Right,WHI_SOX30,"Cerda, Derek",832213,Right,WHI_SOX30,Undefined,1,Bottom,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.7421,-2.473406,-1.661811,2400.664775,195.859487,12:30,6.18438,2.4886,5.84282,-14.64158,16.94135,4.55284,2.66327,1.32321,86.5033,-5.239518,-0.845698,0.40448,,,,,,,,,,,,-2.74646,9.5741,-2.35603,50,5.97426,3.75018,-136.15673,-6.33945,-5.20863,27.02151,-14.01678,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,f69145a0-0387-11f1-8e19-276118046144,93.18729,,,7.2388,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:16:31.13,2026-02-06T11:16:31.1327744-07:00,2026-02-06T18:16:31.1327744Z,,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,73858573-f6d1-47fe-8ae0-b6ca1c90b573,54.65572,-137.07759,13.51076,6.18216,-5.86178,-7.00839,-2.48685,3.92768,-2.60431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.66265,-137.29544,14.83752,-2.11841,6.18431,-5.92944,-6.59628,-0.658,-2.48856,3.98128,-2.93075,0.52121
29,2026-02-06,11:16:47.78,2,6,"Burke, Sean",680732,Right,WHI_SOX30,"Cerda, Derek",832213,Right,WHI_SOX30,Undefined,1,Bottom,0,2,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.51373,-0.005891,-2.809017,2439.258303,10.687298,6:15,6.10701,2.47103,6.17901,-57.64566,-13.90816,-2.87169,1.29777,-0.36435,73.61733,-10.544812,-3.328183,0.475991,,,,,,,,,,,,0.68764,-6.80032,-2.25733,50,6.07777,5.77342,-115.56941,-1.8386,0.92771,22.03361,-41.34857,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,0083a8a0-0388-11f1-8e19-276118046144,79.18736,,,5.8964,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:16:47.78,2026-02-06T11:16:47.7870592-07:00,2026-02-06T18:16:47.7870592Z,,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,79d5bd22-c434-4523-98bd-ad5c002bd96f,54.3233,-116.39074,11.0168,6.11757,-0.29728,-20.67429,-2.4719,5.73884,0.46386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.32648,-116.4753,11.45221,-0.58774,6.10723,-0.02241,-22.08952,1.91038,-2.47105,5.71621,0.58037,-0.15728
30,2026-02-06,11:17:36.95,3,1,"Burke, Sean",680732,Right,WHI_SOX30,"Galvan, Rylan",805025,Right,WHI_SOX30,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.26936,-3.533958,-4.630023,2393.22972,182.307287,12:00,6.19017,2.56117,6.05497,-14.75993,17.21623,0.65492,1.67421,-1.67923,85.94158,-6.320955,-4.51282,0.406991,,,,,,,,,,,,-1.52646,10.0763,-2.20108,50,5.9063,10.90003,-134.94059,-8.79098,-2.83574,27.2973,-13.45527,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,1dc32580-0388-11f1-8e19-276118046144,92.61253,,,7.32778,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:17:36.95,2026-02-06T11:17:36.9569280-07:00,2026-02-06T18:17:36.9569280Z,,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,a49a0d22-b4b1-4e4e-998a-ee987fe9407e,54.44236,-135.83627,13.64865,6.18751,-8.34949,-6.72763,-2.56026,10.99307,-1.41787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.45046,-136.08085,15.07907,-2.19327,6.19009,-8.42727,-6.27278,-0.69743,-2.56116,11.02025,-1.57681,0.24371
31,2026-02-06,11:17:56.07,3,2,"Burke, Sean",680732,Right,WHI_SOX30,"Galvan, Rylan",805025,Right,WHI_SOX30,Undefined,1,Bottom,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.60312,1.095028,-3.470993,1480.566729,241.484482,2:00,6.02283,2.76473,6.33529,-32.51069,7.66642,11.8793,4.3238,0.55492,75.76893,-4.985913,-1.326394,0.456206,,,,,,,,,,,,-7.10378,4.07358,-2.51711,50,6.08732,6.83736,-119.93011,1.34045,-10.38786,22.32209,-26.21727,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,2932b2a0-0388-11f1-8e19-276118046144,82.6216,,,6.83419,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:17:56.07,2026-02-06T11:17:56.0746496-07:00,2026-02-06T18:17:56.0746496Z,,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,4d0066d3-ad7d-444a-b508-a427489e52a6,54.16307,-120.70247,11.16104,6.02525,2.24759,-13.10864,-2.7599,7.19679,-5.19393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.17014,-120.89894,12.21887,-1.49325,6.02285,2.31413,-13.46689,0.50573,-2.76461,7.32748,-5.89759,0.9933
32,2026-02-06,11:18:15.93,3,3,"Burke, Sean",680732,Right,WHI_SOX30,"Galvan, Rylan",805025,Right,WHI_SOX30,Undefined,1,Bottom,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.50085,-2.147078,-1.655421,2384.519095,186.233679,12:15,6.18716,2.60112,5.97097,-15.54304,16.81103,1.73126,2.89962,1.21025,85.14475,-5.090584,-1.344379,0.409389,,,,,,,,,,,,-1.3137,9.48642,-2.47102,50,6.00832,3.80838,-134.35888,-5.50632,-2.41913,27.09953,-14.7051,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,34fedeb0-0388-11f1-8e19-276118046144,92.07004,,,7.35611,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:18:15.93,2026-02-06T11:18:15.9327232-07:00,2026-02-06T18:18:15.9327232Z,,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,40cf4608-e4c3-477f-a091-29abade8cab9,54.52663,-135.26879,13.54977,6.18492,-5.01257,-7.35255,-2.60025,3.88961,-1.20957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.53447,-135.50778,14.96091,-2.18455,6.18708,-5.07856,-6.96292,-0.60317,-2.6011,3.91543,-1.36202,0.23602
33,2026-02-06,11:18:33.09,3,4,"Burke, Sean",680732,Right,WHI_SOX30,"Galvan, Rylan",805025,Right,WHI_SOX30,Undefined,1,Bottom,1,3,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,93.65295,-3.95382,-3.16867,2384.497551,185.040226,12:15,6.05222,2.71102,6.11277,-13.95784,17.70576,1.47437,1.22192,-0.09888,86.03239,-6.607075,-2.903619,0.404997,81.97516,-49.188792,-32.113017,,,,,1.13442,1.13442,-17.6528,0.011963,-1.60921,10.51264,-2.4686,50,5.74072,7.44673,-135.64825,-9.78512,-3.00969,28.62026,-12.51235,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,3f3d8cf0-0388-11f1-8e19-276118046144,93.06851,1.08987,,7.62056,,,,0.28387,1.08987,0.15628,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:18:33.09,2026-02-06T11:18:33.0969088-07:00,2026-02-06T18:18:33.0969088Z,GroundBall,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,38f14fc7-49f7-4427-9568-bf6c9d17bd77,54.38497,-136.5703,14.31013,6.04947,-9.38202,-6.25617,-2.71007,7.54369,-1.50485,,0.28372,66.63392,,,,,,,,1.09007,-91.10449,,,,,,,,0.15637,-41.82047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.39267,-136.81288,15.78969,-2.36583,6.05214,-9.46622,-5.74266,-0.82112,-2.711,7.57327,-1.68531,0.28856
34,2026-02-06,11:19:06.72,4,1,"Burke, Sean",680732,Right,WHI_SOX30,"Baker, Dru",681333,Right,WHI_SOX30,Undefined,1,Bottom,1,0,0,Slider,Slider,InPlay,Undefined,FlyBall,Single,0,0,,84.24657,-0.5219,-3.011859,2424.035529,87.061425,9:00,5.9984,3.01041,5.76031,-38.54207,0.81854,-6.03969,2.30011,-0.2988,77.98423,-7.566906,-4.091623,0.451546,90.68261,37.607716,10.899093,3784.68721,107.91335,81.93594,21.32332,314.95607,303.94729,12.810979,5.732451,2.32315,0.84945,-2.75691,50,5.93134,6.67303,-122.3451,-2.42954,3.54187,22.8108,-30.87897,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,534e1de0-0388-11f1-8e19-276118046144,83.47415,109.65209,,6.26234,,,,2.33744,2.59149,0.20656,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:19:06.72,2026-02-06T11:19:06.7271168-07:00,2026-02-06T18:19:06.7271168Z,FlyBall,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,06d0f3b5-f226-4b7a-8739-7bd8821d125d,54.73999,-123.22569,11.4054,6.00212,-1.23749,-15.43949,-3.01188,6.5363,1.77094,,2.34195,103.37783,-23.55008,5.41163,-0.76586,0.03176,0.00827,-0.00128,6E-05,2.59044,81.17708,-16.39538,0.32353,0.07228,-0.04382,0.01332,-0.00188,0.0001,0.20703,19.91219,-4.0329,1.00471,-0.15199,0.00821,0.00147,-0.00027,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.74517,-123.37962,12.29305,-1.34193,5.99845,-1.12848,-16.06806,0.95026,-3.01045,6.49379,2.01605,-0.37056
35,2026-02-06,11:19:50.92,5,1,"Burke, Sean",680732,Right,WHI_SOX30,"Fauske, Jaden",828262,Left,WHI_SOX30,Undefined,1,Bottom,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.27788,0.983225,-2.916324,2362.533756,16.334977,6:30,6.06439,2.65743,5.82248,-62.81661,-16.73182,-5.33693,1.74503,-0.50089,71.94197,-10.446286,-3.874004,0.488596,,,,,,,,,,,,1.82626,-8.35119,-2.41573,50,6.10811,5.98928,-113.62159,-0.14149,2.36442,22.68942,-42.98612,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,6db1f210-0388-11f1-8e19-276118046144,77.14433,,,6.33591,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:19:50.92,2026-02-06T11:19:50.9232640-07:00,2026-02-06T18:19:50.9232640Z,,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,25c3b059-5939-46c6-9a16-6c8ce0ac0073,54.67969,-114.55228,11.34471,6.07776,1.62174,-21.49306,-2.65942,5.89229,1.18221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.683,-114.637,11.76479,-0.54605,6.06469,1.95605,-23.15056,2.15454,-2.65748,5.84271,1.42807,-0.31959
36,2026-02-06,11:20:09.53,5,2,"Burke, Sean",680732,Right,WHI_SOX30,"Fauske, Jaden",828262,Left,WHI_SOX30,Undefined,1,Bottom,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.53903,-1.702575,-2.415414,2453.053684,179.333717,12:00,6.16787,2.58784,6.43357,-12.70686,18.77454,-0.20614,3.54243,0.34956,85.01078,-4.180478,-2.452727,0.40383,,,,,,,,,,,,-0.60642,10.59942,-2.41599,50,6.04055,5.73511,-135.75538,-4.33628,-1.12495,31.37309,-12.51154,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,78b528d0-0388-11f1-8e19-276118046144,93.33746,,,8.52825,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:20:09.53,2026-02-06T11:20:09.5329280-07:00,2026-02-06T18:20:09.5329280Z,,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,4c5cedb2-4e97-4284-95ed-c13f86ebc247,54.06183,-136.69085,15.68654,6.16428,-3.96322,-6.25577,-2.5875,5.76865,-0.56248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.07181,-136.99655,17.50007,-2.82055,6.16775,-4.06939,-5.62594,-0.97957,-2.58783,5.77891,-0.62333,0.09465
37,2026-02-06,11:20:31.28,5,3,"Burke, Sean",680732,Right,WHI_SOX30,"Fauske, Jaden",828262,Left,WHI_SOX30,Undefined,1,Bottom,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.51362,-2.038998,-1.460373,2427.971062,180.568268,12:00,6.05383,2.74482,6.23894,-14.35103,17.32351,0.16142,2.97572,1.41092,85.12904,-4.801318,-1.431221,0.405067,,,,,,,,,,,,-0.50791,9.8719,-2.63612,50,5.89453,3.45358,-135.74067,-5.21934,-0.94345,30.9483,-13.83735,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,85b1be90-0388-11f1-8e19-276118046144,93.05243,,,8.38458,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:20:31.28,2026-02-06T11:20:31.2878080-07:00,2026-02-06T18:20:31.2878080Z,,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,88b68205-22e4-479c-af96-541bc84966b0,54.25647,-136.70768,15.47415,6.05086,-4.78697,-6.91867,-2.74449,3.48305,-0.47173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.26643,-137.01024,17.25518,-2.74867,6.05372,-4.87406,-6.40601,-0.79119,-2.74481,3.49282,-0.5292,0.08869
38,2026-02-06,11:20:52.68,5,4,"Burke, Sean",680732,Right,WHI_SOX30,"Fauske, Jaden",828262,Left,WHI_SOX30,Undefined,1,Bottom,1,2,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.82619,-0.413666,-1.842671,2497.175127,92.422983,9:00,6.00577,2.92678,5.69721,-36.72108,1.5139,-7.6713,2.55999,0.5698,78.77786,-7.149634,-3.214639,0.445043,,,,,,,,,,,,3.37847,1.25677,-2.76726,50,5.9482,4.32816,-124.61624,-2.19643,5.30511,25.37211,-30.20057,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,9277db00-0388-11f1-8e19-276118046144,84.69397,,,7.04833,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:20:52.68,2026-02-06T11:20:52.6887936-07:00,2026-02-06T18:20:52.6887936Z,,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,771f0f24-4be2-4077-bf72-131c79846e04,54.80074,-125.58988,12.68606,6.01025,-1.03751,-15.10029,-2.92945,4.12458,2.65256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8082,-125.80083,13.84261,-1.66235,6.00584,-0.91274,-15.78429,0.98315,-2.92685,4.05106,3.05562,-0.57935
39,2026-02-06,11:21:16.41,5,5,"Burke, Sean",680732,Right,WHI_SOX30,"Fauske, Jaden",828262,Left,WHI_SOX30,Undefined,1,Bottom,1,2,2,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Single,0,0,,84.58568,-2.054634,-2.488127,1708.380084,233.884029,1:45,5.93564,2.72329,6.28989,-27.50876,11.44284,13.79123,1.74727,1.57826,76.73582,-7.23196,0.006275,0.449194,70.37079,32.431118,-24.689479,3314.475896,95.01018,48.69264,-55.43496,224.61465,224.59837,-34.715185,3.775808,-7.96957,6.99874,-2.54656,50,5.77106,4.80714,-122.67508,-5.20528,-11.98938,27.16468,-21.64519,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,a098cc80-0388-11f1-8e19-276118046144,83.91125,49.68966,,7.84987,,,,1.37866,1.87241,-1.59553,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:21:16.41,2026-02-06T11:21:16.4178944-07:00,2026-02-06T18:21:16.4178944Z,FlyBall,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,17307ad1-06c8-4e1c-8cfd-9de8b718e993,54.20706,-123.60316,13.58234,5.93627,-4.46577,-10.8226,-2.7178,5.21676,-5.99469,,1.37857,79.15672,-16.13988,3.97345,-0.90977,0.22175,-0.05641,0.01006,-0.00076,1.87314,55.32443,-17.0409,0.37407,0.37425,-0.25819,0.08911,-0.01504,0.00098,-1.59557,-36.38459,0.28958,0.48618,-0.19358,0.04363,-0.00621,0.00044,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.21551,-123.85222,15.0037,-2.12666,5.93562,-4.44686,-10.9305,0.16145,-2.72315,5.37446,-6.8947,1.34662
