Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Geraldo Perdomo","ARI",161,720,20,98,100,27,0.130555555,0.115277777,0.172529313,0.302970297,0.289782244,0.389044943,0.462311557,0.3698901362224638,0.35512569626564705,137.98755046348717,3.7621945179998875,36.17883408519434,9.052163481712341,7.078549937322684,"Geraldo Perdomo",22799,672695
"Kyle Tucker","CHC",136,597,22,91,73,25,0.145728643,0.147403685,0.198,0.282442748,0.266,0.377104377,0.464,0.3629035417631497,0.3708789052102188,135.97800271715482,3.7615440152585506,29.218448153120068,-5.071225881576538,4.502728506941264,"Kyle Tucker",18345,663656
"Shohei Ohtani","LAD",158,727,55,146,102,20,0.149931224,0.257221458,0.340425532,0.315363881,0.281505728,0.391724137,0.62193126,0.4178216946885941,0.4226862300526012,172.3156045629402,3.680434776470065,65.99084893877733,-17.067899703979492,7.480110532847197,"Shohei Ohtani",19755,660271
"Xavier Edwards","MIA",139,619,3,75,43,27,0.079159935,0.142164781,0.069518717,0.329809725,0.283422459,0.342532467,0.352941176,0.3083631902059437,0.2932753242954685,95.48281525010997,3.6126714441925287,0.29866988756169155,3.8421526551246643,2.5307106082304616,"Xavier Edwards",22266,669364
"Jung Hoo Lee","SFG",150,617,8,73,55,10,0.07617504,0.115072933,0.141071429,0.290721649,0.266071428,0.327390599,0.407142857,0.3199864445281376,0.3177977275073044,107.17950801800322,3.4941856544464827,8.744363979110846,-5.660334587097168,2.415779518829565,"Jung Hoo Lee",33824,808982
"Matt McLain","CIN",147,577,15,73,50,18,0.095320623,0.289428076,0.123529411,0.292168674,0.219607843,0.299651567,0.343137254,0.28649665659313,0.28666746008794214,76.96446873414527,3.4068464394658804,-12.346334152482878,6.7973281145095825,1.3963534630703691,"Matt McLain",29695,680574
"Lawrence Butler","ATH",152,630,21,83,63,22,0.093650793,0.284126984,0.170474517,0.303523035,0.233743409,0.305732484,0.404217926,0.31035382931779143,0.304845572279665,95.51550579704784,3.2740016635507345,-0.055863065325746586,-2.1956374645233154,1.9881445197378271,"Lawrence Butler",22542,671732
"Jackson Chourio","MIL",131,589,21,88,78,21,0.050933786,0.205432937,0.193078324,0.307506053,0.269581056,0.307823129,0.46265938,0.32846995980004434,0.3051793425005989,111.35224164419445,3.0575272142887115,10.98237861548845,-1.9488619565963745,2.9291755795627137,"Jackson Chourio",28806,694192
"Zach Neto","LAA",128,554,26,82,62,26,0.059566787,0.268953068,0.217131474,0.312121212,0.256972111,0.318840579,0.474103585,0.337106439220163,0.34269317515167125,115.58566304980467,2.9971745051443577,13.17388974532326,-1.599076747894287,3.1351207109038306,"Zach Neto",31347,687263
"Jazz Chisholm Jr.","NYY",130,531,31,75,80,31,0.109227871,0.278719397,0.238095238,0.282229965,0.242424242,0.332075471,0.48051948,0.3490127379141593,0.3456374370690548,126.09384578932723,2.9428022354841232,19.2735167736173,5.301408886909485,4.3842020292452935,"Jazz Chisholm Jr.",20454,665862
