,game_year,pitcher,player_name,Shape+,shape_rv,foul,barrel,solid,flr_brn,under,topped,weak,swstr,count,Name
67,2023,543859,"Tonkin, Michael",94,-0.00285,14.3,0.9,0.5,2.9,3.1,3.1,0.4,9.6,1298,Michael Tonkin
68,2023,543901,"Weber, Ryan",89,-0.00586,14.4,0.7,0.8,4.1,2.5,6.7,0.4,6.7,182,Ryan Weber
69,2023,544727,"Familia, Jeurys",100,0.00099,15.1,1.3,0.7,4.5,2.4,8.8,0.8,14.6,256,Jeurys Familia
70,2023,547179,"Lorenzen, Michael",92,-0.00371,20.4,2.0,1.6,5.0,6.2,5.9,0.9,12.9,2403,Michael Lorenzen
71,2023,547184,"Kelly, Michael",98,-0.0002,18.7,1.1,1.5,5.0,5.0,6.2,0.5,12.4,272,Michael Kelly
72,2023,547943,"Ryu, Hyun Jin",81,-0.01003,16.0,1.9,1.3,5.4,5.3,5.8,1.0,10.0,830,Hyun Jin Ryu
73,2023,547973,"Chapman, Aroldis",112,0.00769,16.4,0.3,0.3,2.2,1.6,3.3,0.1,13.9,1133,Aroldis Chapman
74,2023,548384,"Raley, Brooks",106,0.00456,15.4,0.8,0.6,3.6,3.7,4.9,1.1,13.5,982,Brooks Raley
75,2023,548389,"Stripling, Ross",94,-0.00281,13.7,1.3,1.1,3.7,3.8,4.7,0.5,12.6,1453,Ross Stripling
76,2023,552640,"Kittredge, Andrew",108,0.00576,22.7,1.2,0.9,6.0,4.5,10.3,1.4,14.9,197,Andrew Kittredge
77,2023,554340,"García, Yimi",105,0.00397,18.5,0.8,0.6,3.7,3.9,4.6,0.9,12.4,1124,Yimi García
78,2023,554430,"Wheeler, Zack",118,0.0116,21.3,0.7,0.7,3.8,3.8,6.0,1.2,16.3,3557,Zack Wheeler
79,2023,570257,"Rodríguez, Joely",90,-0.00477,9.1,0.5,0.5,2.3,1.6,3.9,0.2,7.0,215,Joely Rodríguez
80,2023,570632,"Ureña, José",83,-0.00882,16.4,1.6,1.0,5.2,3.9,7.1,1.0,8.9,771,José Ureña
81,2023,570666,"Cessa, Luis",93,-0.00302,14.8,1.3,0.8,3.7,3.4,6.0,0.8,10.8,463,Luis Cessa
82,2023,571479,"Bellatti, Andrew",92,-0.00406,20.5,2.3,1.5,4.7,5.8,5.6,0.9,14.8,456,Andrew Bellatti
83,2023,571510,"Boyd, Matthew",89,-0.00568,18.9,1.9,1.3,4.5,6.2,4.4,1.0,10.7,1178,Matthew Boyd
84,2023,571539,"Carasiti, Matt",103,0.00245,17.7,0.7,0.7,5.2,2.0,12.1,0.6,10.8,411,Matt Carasiti
85,2023,571578,"Corbin, Patrick",74,-0.01419,13.7,2.2,1.7,4.8,4.3,5.7,0.6,10.4,2913,Patrick Corbin
86,2023,571656,"Farmer, Buck",97,-0.00114,19.0,1.7,1.3,4.6,5.1,6.0,1.3,13.3,1222,Buck Farmer
87,2023,571670,"Floro, Dylan",91,-0.00422,11.7,0.9,0.6,3.0,2.9,4.6,0.5,8.2,961,Dylan Floro
88,2023,571760,"Heaney, Andrew",103,0.00267,18.6,1.2,0.9,3.0,5.1,2.8,0.6,12.7,2770,Andrew Heaney
89,2023,571863,"Koch, Matt",93,-0.00316,20.6,1.8,1.3,4.5,5.2,5.7,0.9,12.5,584,Matt Koch
90,2023,571882,"Law, Derek",99,3e-05,17.9,1.2,1.2,5.1,3.7,7.7,0.6,13.9,959,Derek Law
91,2023,571901,"Loup, Aaron",96,-0.0013,12.3,0.3,0.2,2.6,2.3,3.5,0.5,6.9,837,Aaron Loup
92,2023,571927,"Matz, Steven",97,-0.00101,19.0,1.4,1.0,4.5,4.5,6.4,0.7,12.1,1816,Steven Matz
93,2023,571945,"Mikolas, Miles",85,-0.00781,15.2,1.5,1.4,5.0,3.9,6.5,0.6,10.9,3197,Miles Mikolas
94,2023,571946,"Miller, Shelby",105,0.00355,20.8,1.2,0.9,3.1,4.5,3.1,0.4,13.9,690,Shelby Miller
95,2023,571948,"Milner, Hoby",100,0.00082,12.9,0.3,0.4,2.2,2.5,4.0,0.6,7.0,1054,Hoby Milner
96,2023,572020,"Paxton, James",87,-0.00675,19.3,2.0,1.5,4.6,4.5,5.3,0.4,13.3,1690,James Paxton
97,2023,572193,"Tepera, Ryan",96,-0.00135,17.4,1.7,1.4,4.3,5.6,4.7,1.3,13.4,229,Ryan Tepera
98,2023,572403,"VerHagen, Drew",92,-0.00389,15.7,1.4,1.1,4.7,4.1,6.2,0.6,12.1,1019,Drew VerHagen
99,2023,572955,"Johnson, Pierce",100,0.00082,18.1,1.4,0.8,4.8,3.8,5.6,0.4,16.1,1131,Pierce Johnson
100,2023,572971,"Keuchel, Dallas",99,7e-05,11.8,1.0,0.6,3.3,2.7,5.7,1.0,11.9,658,Dallas Keuchel
101,2023,573009,"Mantiply, Joe",93,-0.00295,16.2,0.9,1.2,5.2,2.7,8.3,1.3,10.4,692,Joe Mantiply
102,2023,573124,"Rogers, Taylor",90,-0.00516,18.2,1.4,1.3,5.1,5.8,6.4,0.9,8.3,834,Taylor Rogers
103,2023,573186,"Stroman, Marcus",93,-0.0034,15.0,1.0,0.7,4.4,3.2,8.1,0.4,8.8,2131,Marcus Stroman
104,2023,573204,"Thielbar, Caleb",93,-0.00301,16.4,1.4,1.3,3.2,5.3,3.1,0.5,10.7,530,Caleb Thielbar
105,2023,579328,"Kikuchi, Yusei",100,0.00089,21.1,1.7,1.1,4.1,4.8,4.8,0.6,15.3,2838,Yusei Kikuchi
106,2023,592094,"Adam, Jason",116,0.01027,19.0,0.9,0.7,3.3,4.5,4.9,0.9,16.2,905,Jason Adam
107,2023,592229,"Covey, Dylan",98,-0.00018,18.7,1.0,1.0,6.3,3.3,10.0,0.8,12.6,735,Dylan Covey
108,2023,592254,"De León, José",110,0.00646,19.7,1.0,0.7,3.2,5.0,3.8,0.9,13.4,284,José De León
109,2023,592332,"Gausman, Kevin",96,-0.00178,19.2,1.7,1.2,4.2,4.3,5.0,0.5,14.8,3139,Kevin Gausman
